symbol,grossProfitMarginTTM,ebitMarginTTM,ebitdaMarginTTM,operatingProfitMarginTTM,pretaxProfitMarginTTM,continuousOperationsProfitMarginTTM,netProfitMarginTTM,bottomLineProfitMarginTTM,receivablesTurnoverTTM,payablesTurnoverTTM,inventoryTurnoverTTM,fixedAssetTurnoverTTM,assetTurnoverTTM,currentRatioTTM,quickRatioTTM,solvencyRatioTTM,cashRatioTTM,priceToEarningsRatioTTM,priceToEarningsGrowthRatioTTM,forwardPriceToEarningsGrowthRatioTTM,priceToBookRatioTTM,priceToSalesRatioTTM,priceToFreeCashFlowRatioTTM,priceToOperatingCashFlowRatioTTM,debtToAssetsRatioTTM,debtToEquityRatioTTM,debtToCapitalRatioTTM,longTermDebtToCapitalRatioTTM,financialLeverageRatioTTM,workingCapitalTurnoverRatioTTM,operatingCashFlowRatioTTM,operatingCashFlowSalesRatioTTM,freeCashFlowOperatingCashFlowRatioTTM,debtServiceCoverageRatioTTM,interestCoverageRatioTTM,shortTermOperatingCashFlowCoverageRatioTTM,operatingCashFlowCoverageRatioTTM,capitalExpenditureCoverageRatioTTM,dividendPaidAndCapexCoverageRatioTTM,dividendPayoutRatioTTM,dividendYieldTTM,enterpriseValueTTM,revenuePerShareTTM,netIncomePerShareTTM,interestDebtPerShareTTM,cashPerShareTTM,bookValuePerShareTTM,tangibleBookValuePerShareTTM,shareholdersEquityPerShareTTM,operatingCashFlowPerShareTTM,capexPerShareTTM,freeCashFlowPerShareTTM,netIncomePerEBTTTM,ebtPerEbitTTM,priceToFairValueTTM,debtToMarketCapTTM,effectiveTaxRateTTM,enterpriseValueMultipleTTM,dividendPerShareTTM,endpoint
AAPL,0.47862405358827936,0.32722254464582384,0.3551552580397925,0.32643396050876966,0.3271073581988384,0.2715188219084622,0.2715188219084622,0.2715188219084622,8.436433630468501,4.10418664667213,34.885282347710096,9.007941575544736,1.2165559094755336,1.07035746912159,1.0202464331073002,0.5109206284416326,0.26981380114526776,37.45157380444626,1.2946968793687594,3.760353986626823,43.10811861171367,10.152658178370643,35.481879583817175,32.73827686867966,0.22828108073148254,0.7954756740006198,0.4430445288229203,0.41131042870173307,3.4846325041552806,173.29827255278312,1.041450969615496,0.3106091147921549,0.921210651680906,13.120888716406325,0.0,13.604540603473367,1.6552986034871504,12.69207096307024,5.271900142867885,0.12686110544564552,0.00336474,4631719313360,30.68796506057692,8.332360120015895,5.7584544819634225,4.656944684820958,7.239007640551603,5.788772512667295,7.239007640551603,9.531961662238377,0.7510170475703497,8.780944614668027,0.8300602695198754,1.00206289103321,43.10811861171367,0.018482387982979843,0.1699397304801246,28.888302480852232,1.05,ratios-ttm
MSFT,0.6830928165442874,0.494324055135057,0.6314044860858445,0.4680164512855316,0.48544174340896024,0.39342325613545603,0.39342325613545603,0.39342325613545603,5.300927699405406,2.6887479007277477,82.74241181296145,1.0345933927335023,0.458456011569686,1.2829483173692569,1.2740284353253672,0.6033173611185553,0.23492437491310617,26.70171735241503,0.8985888818856756,1.7026484658490422,8.068891200312766,10.508514147288649,45.8688946623512,19.651243615589422,0.08205517495693057,0.137474750643753,0.1208596063920973,0.10405779114494706,1.6753940347566287,7.164034979122821,1.2449857677025633,0.5345756630314227,0.42856219253442734,14.715583747642722,52.69083834453484,19.248896934042314,2.986763802334767,1.7499717150938545,1.382349834661727,0.20649118323536927,0.00790689,3369436323200,42.85927821168866,16.861836789657957,8.051710207379477,10.540263937516833,55.79948828440614,37.08335577699973,55.79948828440614,22.911527067061677,13.092512792889847,9.81901427417183,0.8104438101525536,1.0372322213793241,8.068891200312766,0.017032052641423184,0.18955618984744632,16.766784882488466,3.56,ratios-ttm
GOOGL,0.6037423739723499,0.4630850565355471,0.5178244345262042,0.32704240284357944,0.4601624361638182,0.3791313072987415,0.3791313072987415,0.3791313072987415,6.707503293703074,9.936209352005697,0.0,1.4250410583787758,0.600304864622208,1.9224466669065008,1.9224466669065008,0.8142139599330293,0.34233010756556465,28.723494831718764,0.6225714430032824,7.758020420575001,9.612056622927398,10.88625911038749,71.3989502745658,26.393200346423633,0.12854319886236912,0.18900210132303977,0.15895859318728808,0.13932839188346186,1.470339177768587,4.105412468789165,1.5680918804187503,0.4126053681555071,0.36953192660866174,369.8877755511022,276.94789579158316,0.0,1.9268931523805313,1.58612313962374,1.4519615925916673,0.06339883151902527,0.00220855,4652583967240,34.92569633854038,13.241424911149682,7.519877675840979,10.48351103396975,39.56905529382593,34.01338953632531,39.56905529382593,14.410529795850897,9.08537895693859,5.325150838912307,0.8239075541658738,1.4070421210301236,9.612056622927398,0.01684744661263576,0.17609244583412617,21.262637238032127,0.84,ratios-ttm
AMZN,0.5060408521546199,0.1362685385634431,0.23110062791474145,0.11500371579049404,0.15470478313785044,0.12224142944844744,0.12224142944844744,0.12224142944844744,9.833924694169358,2.9411137564228973,10.042727322494114,1.5277201310574477,0.8103335042492609,1.1771531122552548,1.008604144752625,0.3396493903723489,0.46972632822159477,32.021470957510076,0.9043901932594061,2.2235323010468626,6.579301674081382,3.9194878994474784,-1177.7109805825241,19.57494071944577,0.2289778863881828,0.47495214000914204,0.3220118993191184,0.21225765970038574,2.074227112062528,30.025102572912665,0.6852451604569193,0.199967419518132,-0.016642990352182373,58.25582313462298,33.72364784840111,0.0,0.7076678990699802,0.9836294643152785,0.9836294643152785,0.0,0.0,3019373544000,69.14046355766546,8.451829098017313,19.772968444568555,13.31927766917993,41.135064693288655,38.952341059294426,41.135064693288655,13.825840081913805,14.055943405007913,-0.2301033230941078,0.790159340707156,1.3452155182505678,6.579301674081382,0.040900606893643034,0.20967531393861336,17.589676702241693,0.0,ratios-ttm
META,0.8194061303573174,0.43132073891786027,0.5276861599438043,0.41213139005317195,0.41542963207621775,0.3283681377725469,0.3283681377725469,0.3283681377725469,12.304693760732684,2.9131772474861175,0.0,0.985869824439104,0.5438659076533839,2.3477637798643936,2.3477637798643936,0.60237911446272,0.5010587555878767,22.70645217957981,3.6441086668691534,3.6244477350615782,6.5773709891210235,7.469090485711495,33.274161152259964,12.925647903225805,0.2195294117647059,0.35607618156524307,0.262578302315025,0.19425385793029107,1.6219976116316004,3.3097199341021417,2.6522362201356064,0.5768434567809344,0.38913709677419356,54.49827387802071,50.9741081703107,0.0,1.429081814933905,1.6370285291826738,1.5292028413575376,0.07566549081275589,0.00332011,1668921098080,84.83149171270718,27.8559589581689,34.92778216258879,32.036306235201266,96.16456195737963,86.39818468823994,96.16456195737963,48.9344909234412,29.892265193370164,19.042225730071035,0.7904302255268639,1.0080028896188187,6.5773709891210235,0.03658993609233501,0.2095697744731361,14.712835753969303,2.1,ratios-ttm
NVDA,0.741454331711974,0.7476991293576498,0.7604372541825942,0.6402002437956377,0.7473361973403395,0.629659435640713,0.629659435640713,0.629659435640713,6.226750184229919,5.004123081621746,2.5405667325658023,20.437877932758205,0.9769418130525602,3.440775681341719,2.8529304530124873,2.54440625,0.30163613161972475,32.12611779742251,0.2949590932277974,0.8155203879255681,26.23236870376623,20.17437281796987,42.947545601128695,40.810407169234686,0.049384524075629925,0.06555347514247419,0.061520586879705026,0.03680818353831599,1.3274092718213164,2.5279203003694786,2.863184759821347,0.4956704577282823,0.9476951483509487,125.52696456086287,544.5805369127517,125.648,9.805525206805058,19.118685331710285,16.653147779986746,0.0060959946871495425,0.00018944776,5113598940000,10.437741908918719,6.57222267973318,0.5398995305937577,3.3176315572757966,8.048834719591534,7.060034587828379,8.048834719591534,5.173680309643416,0.2706085810755168,4.903071728567899,0.8425383888557508,1.1673475675509135,26.23236870376623,0.0016562306731128338,0.1574616111442492,26.52776939677533,0.04,ratios-ttm
TSLA,0.1906537663850264,0.059011636816886155,0.10704032529960461,0.05003116092318066,0.05554817683057653,0.04011074898599291,0.03959991417975255,0.03959991417975255,24.7231624147512,5.390446379967338,5.488291533878343,1.7495576012154794,0.6810205671982411,2.043119104809889,1.6203058175640048,0.1454246426694247,0.4863495225262171,363.6080650154799,-9.302699845201237,13.004378095914156,16.755374433605706,16.721719866365614,233.81503125714286,85.27013915779284,0.06421335337174028,0.10972144223646373,0.09887295861864032,0.08468360352521018,1.7087013288539943,2.6986958559651493,0.48415255726756107,0.16886155355081273,0.4235237173281704,5.020156774916013,14.44542772861357,11.422252937111265,1.79087658467873,1.7346767422334173,1.7346767422334173,0.0,0.0,1629331218800,30.265615337043908,1.1985157699443414,2.95856524427953,13.835188620902906,26.20439084724799,26.20439084724799,26.008968150896724,5.1106988249845395,2.9461966604823746,2.1645021645021645,0.7128931395990435,1.1102715948539923,16.755374433605706,0.005638767380949956,0.2779106124701122,155.51505381311443,0.0,ratios-ttm
NFLX,0.4902873943761816,0.3606382999596161,0.7267900152339544,0.2972190952815688,0.34241660779127453,0.28521312181072667,0.28521312181072667,0.28521312181072667,23.401469267163076,26.713901379374324,0.0,11.037356833876334,0.768487906286219,1.4071526391702711,1.4071526391702711,1.021846356489893,0.9583587559672782,27.161199985852765,0.5953515552454591,3.486330667784448,11.669969845853355,7.7247404094246805,30.45289580489862,28.714318296062874,0.2743907105939608,0.5378778316116811,0.34975329025192486,0.30033744135742596,1.960262541131083,13.438097974326036,1.0427562679809668,0.2697863330836141,0.9402327015870559,13.727956370530432,16.311278477086663,8.829905567464225,0.7555923952646606,16.73155766705067,16.73155766705067,0.0,0.0,367328812000,11.104039109715929,3.1670176591904826,4.167061942740659,2.911680603355083,7.371055892707825,7.371055892707825,7.371055892707825,2.9957179938272995,0.1790459712981024,2.816672022529197,0.8329418472149075,1.1520679970675776,11.669969845853355,0.04084335279657648,0.1670581527850925,10.778687561067349,0.0,ratios-ttm
AMD,0.5028034388850323,0.13528595076627328,0.21589149356544027,0.11651625994553319,0.1320019223580926,0.13168152934266034,0.13373738452501735,0.13373738452501735,6.206130903065452,6.2135468802135465,2.3147296457426974,13.754682335659199,0.4702795007659275,2.7249190938511325,1.959166190748144,0.5288537549407115,0.5316009899105273,168.0493312038331,1.3641651591840562,2.209321311024677,13.058221898172565,22.468966198536872,98.15169815721949,86.556205655527,0.04860500740815148,0.060050882690577394,0.056649056824667435,0.04442698527994782,1.2354875740746487,2.1033301510641884,0.9256615267466209,0.25965183958989696,0.8816452442159383,7.900195694716243,29.486486486486488,11.12700228832952,2.512270731077241,8.449174630755865,8.449174630755865,0.0,0.0,839838660000,22.963825873697118,3.071122011036174,2.4641324340895157,7.570202329858982,39.5229920294298,14.079705702023299,39.5229920294298,5.962599632127529,0.7057020232985898,5.25689760882894,1.0131472491909386,1.1329055912007333,13.058221898172565,0.004599830983838848,0.0024271844660194173,103.86330200346278,0.0,ratios-ttm
INTC,0.3543329055298253,-0.014247716831278016,0.21207893904730019,-0.09447017465543217,-0.033536074995814964,-0.06264531369157227,-0.05903688410244964,-0.05903688410244964,13.222577471716676,4.84886157284537,0.0,0.5146853280744415,0.26183449243176904,2.311958341082388,2.311958341082388,0.11194503565960942,0.6415101357634369,-183.65420289855075,-0.023317864397911607,-4.658406317107226,5.232942887408658,10.7207871584547,-184.79694773966014,58.408661322645294,0.21930824226131337,0.4042497800599673,0.2878759789036279,0.2786343826293056,1.8432949710038242,1.5956963715960526,0.37121071229310026,0.18562952216208173,-0.3125250501002004,3.2147058823529413,-4.809659090909091,4.9800399201596806,0.22162510270702404,0.7618902206275289,0.7618902206275289,0.0,0.0,604165680000,10.577021444029116,-0.6244343891402715,9.066889632107024,6.45071807987409,24.589612433602202,20.027936258115286,21.915010820381664,1.9634074365532166,2.577021444029117,-0.6136140074759001,1.7603993344425957,0.35499113998818665,5.232942887408658,0.07812704942322247,-0.8679977814753189,52.98769338712507,0.0,ratios-ttm
