date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,accountsReceivables,otherReceivables,inventory,prepaids,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,totalPayables,accountPayables,otherPayables,accruedExpenses,shortTermDebt,capitalLeaseObligationsCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,capitalLeaseObligationsNonCurrent,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,treasuryStock,preferredStock,commonStock,retainedEarnings,additionalPaidInCapital,accumulatedOtherComprehensiveIncomeLoss,otherTotalStockholdersEquity,totalStockholdersEquity,totalEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,endpoint
2025-12-31,AMZN,USD,0001018724,2026-02-06,2026-02-05 18:44:31,2025,FY,86810000000,36219000000,123029000000,67729000000,67729000000,0,38325000000,0,0,229083000000,443079000000,23273000000,9197000000,32470000000,0,0,113410000000,588959000000,0,818042000000,121909000000,121909000000,0,75520000000,0,0,0,20576000000,0,218005000000,65648000000,87339000000,0,0,35985000000,188972000000,0,87339000000,406977000000,-7837000000,0,112000000,250536000000,140024000000,28230000000,0,411065000000,411065000000,0,818042000000,36219000000,152987000000,66177000000,balance-sheet-statement
2024-12-31,AMZN,USD,0001018724,2025-02-07,2025-02-06 18:40:29,2024,FY,78779000000,22423000000,101202000000,55451000000,55451000000,0,34214000000,0,0,190867000000,328806000000,23074000000,8602000000,31676000000,0,0,73545000000,434027000000,0,624894000000,94363000000,94363000000,0,66965000000,0,0,0,18103000000,0,179431000000,52623000000,78277000000,0,0,28593000000,159493000000,0,78277000000,338924000000,-7837000000,0,111000000,172866000000,120864000000,-34000000,0,285970000000,285970000000,0,624894000000,22423000000,130900000000,52121000000,balance-sheet-statement
2023-12-31,AMZN,USD,0001018724,2024-02-02,2024-02-01 18:48:30,2023,FY,73387000000,13393000000,86780000000,52253000000,52253000000,0,33318000000,0,0,172351000000,276690000000,22789000000,7687000000,30476000000,0,0,48337000000,355503000000,0,527854000000,84981000000,84981000000,0,64709000000,0,0,0,15227000000,0,164917000000,58314000000,77297000000,0,0,25451000000,161062000000,0,77297000000,325979000000,-7837000000,0,109000000,113618000000,99025000000,-3040000000,0,201875000000,201875000000,0,527854000000,13393000000,135611000000,62224000000,balance-sheet-statement
2022-12-31,AMZN,USD,0001018724,2023-02-03,2023-02-02 18:27:34,2022,FY,53888000000,16138000000,70026000000,42360000000,42360000000,0,34405000000,0,0,146791000000,252838000000,20288000000,6097000000,26385000000,0,0,36661000000,315884000000,0,462675000000,79600000000,79600000000,0,62566000000,0,0,0,13227000000,0,155393000000,67150000000,72968000000,0,0,21121000000,161239000000,0,72968000000,316632000000,-7837000000,0,108000000,83193000000,75066000000,-4487000000,0,146043000000,146043000000,0,462675000000,16138000000,140118000000,86230000000,balance-sheet-statement
2021-12-31,AMZN,USD,0001018724,2022-02-04,2022-02-03 18:46:51,2021,FY,36220000000,59829000000,96049000000,32891000000,32891000000,0,32640000000,0,0,161580000000,216363000000,15371000000,5107000000,20478000000,0,0,22128000000,258969000000,0,420549000000,78664000000,78664000000,0,51775000000,0,0,0,11827000000,0,142266000000,48744000000,67651000000,0,0,23643000000,140038000000,0,67651000000,282304000000,-1837000000,0,106000000,85915000000,55437000000,-1376000000,0,138245000000,138245000000,0,420549000000,59829000000,116395000000,80175000000,balance-sheet-statement
2025-12-31,META,USD,0001326801,2026-01-29,2026-01-28 19:13:46,2025,FY,35873000000,45719000000,81592000000,19769000000,19769000000,0,0,0,7361000000,108722000000,196804000000,24534000000,0,24534000000,27524000000,0,8437000000,257299000000,0,366021000000,8894000000,8894000000,0,30729000000,0,2213000000,21005000000,0,0,41836000000,58744000000,22940000000,0,21005000000,4253000000,106942000000,0,25153000000,148778000000,0,0,0,121179000000,95793000000,271000000,0,217243000000,217243000000,0,366021000000,73243000000,83897000000,48024000000,balance-sheet-statement
2024-12-31,META,USD,0001326801,2025-01-30,2025-01-29 20:00:50,2024,FY,43889000000,33926000000,77815000000,16994000000,16994000000,0,0,0,5236000000,100045000000,136268000000,20654000000,915000000,21569000000,6070000000,0,12102000000,176009000000,0,276054000000,11125000000,7687000000,3438000000,8105000000,0,1942000000,9987000000,0,12424000000,33596000000,28826000000,18292000000,0,0,12703000000,59821000000,0,20234000000,93417000000,0,0,0,102506000000,83228000000,-3097000000,0,182637000000,182637000000,0,276054000000,39996000000,49060000000,5171000000,balance-sheet-statement
2023-12-31,META,USD,0001326801,2024-02-02,2024-02-01 19:39:02,2023,FY,41862000000,23541000000,65403000000,16169000000,16169000000,0,0,0,3793000000,85365000000,109881000000,20654000000,788000000,21442000000,6141000000,0,6794000000,144258000000,0,229623000000,8504000000,4849000000,3655000000,8805000000,0,1623000000,3655000000,0,13028000000,31960000000,18385000000,17226000000,-6950000000,6950000000,8884000000,44495000000,0,18849000000,76455000000,0,0,0,82070000000,73253000000,-2155000000,0,153168000000,153168000000,0,229623000000,29682000000,37234000000,-4628000000,balance-sheet-statement
2022-12-31,META,USD,0001326801,2023-02-02,2023-02-01 20:26:31,2022,FY,14681000000,26057000000,40738000000,13466000000,13466000000,0,0,0,5345000000,59549000000,92191000000,20306000000,897000000,21203000000,6201000000,0,6583000000,126178000000,0,185727000000,8446000000,4990000000,3456000000,7716000000,0,1367000000,2339000000,0,9497000000,27026000000,9923000000,15301000000,-5490000000,5490000000,7764000000,32988000000,0,16668000000,60014000000,0,0,0,64799000000,64444000000,-3530000000,0,125713000000,125713000000,0,185727000000,32258000000,26591000000,11910000000,balance-sheet-statement
2021-12-31,META,USD,0001326801,2022-02-03,2022-02-02 21:11:04,2021,FY,16601000000,31397000000,47998000000,14039000000,14039000000,0,0,4480000000,149000000,66666000000,69964000000,19197000000,634000000,19831000000,6775000000,0,2751000000,99321000000,0,165987000000,6391000000,4083000000,2308000000,4646000000,0,1127000000,1256000000,561000000,8410000000,21135000000,0,12746000000,0,0,7227000000,19973000000,0,13873000000,41108000000,0,0,0,69761000000,55811000000,-693000000,0,124879000000,124879000000,0,165987000000,38172000000,13873000000,-2728000000,balance-sheet-statement
2026-01-25,NVDA,USD,0001045810,2026-02-25,2026-02-25 16:42:19,2026,FY,10605000000,51951000000,62556000000,38466000000,38466000000,0,21403000000,0,3180000000,125605000000,13250000000,20832000000,3306000000,24138000000,22251000000,13258000000,8301000000,81198000000,0,206803000000,12481000000,9812000000,2669000000,9239000000,999000000,372000000,0,1379000000,7693000000,32163000000,7469000000,2572000000,1193000000,1774000000,4339000000,17347000000,0,2944000000,49510000000,0,0,24000000,146973000000,10118000000,178000000,0,157293000000,157293000000,0,206803000000,74202000000,11412000000,807000000,balance-sheet-statement
2025-01-26,NVDA,USD,0001045810,2025-02-26,2025-02-26 16:48:33,2025,FY,8589000000,34621000000,43210000000,23065000000,23065000000,0,10080000000,0,3771000000,80126000000,8076000000,5188000000,807000000,5995000000,3387000000,10979000000,3038000000,31475000000,0,111601000000,7191000000,6310000000,881000000,8130000000,0,288000000,0,837000000,1601000000,18047000000,8463000000,1519000000,976000000,886000000,2383000000,14227000000,0,1807000000,32274000000,0,0,24000000,68038000000,11237000000,28000000,0,79327000000,79327000000,0,111601000000,38008000000,10270000000,1681000000,balance-sheet-statement
2024-01-28,NVDA,USD,0001045810,2024-02-21,2024-02-21 16:36:57,2024,FY,7280000000,18704000000,25984000000,9999000000,9999000000,0,5282000000,0,3080000000,44345000000,5260000000,4430000000,1112000000,5542000000,1321000000,6081000000,3179000000,21383000000,0,65728000000,2995000000,2699000000,296000000,4780000000,1250000000,228000000,296000000,764000000,614000000,10631000000,8459000000,1119000000,573000000,462000000,1506000000,12119000000,0,1347000000,22750000000,0,0,25000000,29817000000,13109000000,27000000,0,42978000000,42978000000,0,65728000000,20025000000,11056000000,3776000000,balance-sheet-statement
2023-01-29,NVDA,USD,0001045810,2023-02-24,2023-02-24 17:23:43,2023,FY,3389000000,9907000000,13296000000,3827000000,3827000000,0,5159000000,0,791000000,23073000000,4845000000,4372000000,1676000000,6048000000,299000000,3396000000,3521000000,18109000000,0,41182000000,1660000000,1193000000,467000000,2946000000,1250000000,176000000,467000000,354000000,177000000,6563000000,9703000000,902000000,218000000,247000000,1448000000,12518000000,0,1078000000,19081000000,0,0,2000000,10171000000,11971000000,-43000000,0,22101000000,22101000000,0,41182000000,10206000000,12031000000,8642000000,balance-sheet-statement
2022-01-30,NVDA,USD,0001045810,2022-03-18,2022-03-17 20:33:34,2022,FY,1990000000,19218000000,21208000000,4650000000,4650000000,0,2605000000,366000000,0,28829000000,3607000000,4349000000,2339000000,6688000000,266000000,1222000000,3575000000,15358000000,0,44187000000,1915000000,1783000000,132000000,1605000000,0,144000000,132000000,300000000,371000000,4335000000,10946000000,741000000,202000000,245000000,1106000000,13240000000,0,885000000,17575000000,0,0,3000000,16235000000,10385000000,-11000000,0,26612000000,26612000000,0,44187000000,19484000000,11831000000,9841000000,balance-sheet-statement
2025-12-31,TSLA,USD,0001318605,2026-01-29,2026-01-28 20:55:03,2025,FY,16513000000,27546000000,44059000000,4576000000,4576000000,0,12392000000,0,7615000000,68642000000,40643000000,257000000,135000000,392000000,0,6925000000,21204000000,69164000000,0,137806000000,13371000000,13371000000,0,3785000000,1640000000,0,0,3424000000,9494000000,31714000000,6736000000,0,3631000000,0,12860000000,23227000000,0,0,54941000000,0,0,3000000,39003000000,42770000000,361000000,0,82137000000,82865000000,728000000,137806000000,27546000000,8376000000,-8137000000,balance-sheet-statement
2024-12-31,TSLA,USD,0001318605,2025-01-30,2025-01-29 20:42:33,2024,FY,16139000000,20424000000,36563000000,4418000000,4418000000,0,12017000000,0,5362000000,58360000000,51507000000,244000000,1226000000,1470000000,0,6524000000,4215000000,63716000000,-6000000,122070000000,13841000000,12474000000,1367000000,3785000000,2343000000,920000000,1367000000,4161000000,3771000000,28821000000,5535000000,4825000000,3317000000,0,5892000000,19569000000,0,5745000000,48390000000,0,0,3000000,35209000000,38371000000,-670000000,0,72913000000,73680000000,767000000,122070000000,20424000000,13623000000,-2516000000,balance-sheet-statement
2023-12-31,TSLA,USD,0001318605,2024-01-29,2024-01-26 21:00:20,2023,FY,16398000000,12696000000,29094000000,3508000000,3508000000,0,13626000000,0,3388000000,49616000000,45123000000,253000000,362000000,615000000,0,6733000000,4532000000,57003000000,-1000000,106618000000,15635000000,14431000000,1204000000,4046000000,1975000000,1070000000,1204000000,3740000000,2282000000,28748000000,2682000000,3846000000,3251000000,0,4482000000,14261000000,0,4916000000,43009000000,0,0,3000000,27882000000,34892000000,-143000000,0,62634000000,63609000000,975000000,106618000000,12696000000,9573000000,-6825000000,balance-sheet-statement
