date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,accountsReceivables,otherReceivables,inventory,prepaids,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,totalPayables,accountPayables,otherPayables,accruedExpenses,shortTermDebt,capitalLeaseObligationsCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,capitalLeaseObligationsNonCurrent,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,treasuryStock,preferredStock,commonStock,retainedEarnings,additionalPaidInCapital,accumulatedOtherComprehensiveIncomeLoss,otherTotalStockholdersEquity,totalStockholdersEquity,totalEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,endpoint
2022-12-31,AMD,USD,0000002488,2023-02-27,2023-02-27 16:20:39,2022,FY,4835000000,1020000000,5855000000,4128000000,4126000000,2000000,3771000000,0,1265000000,15019000000,1973000000,24177000000,24118000000,48295000000,83000000,58000000,2152000000,52561000000,0,67580000000,2956000000,2493000000,463000000,2376000000,0,0,0,859000000,178000000,6369000000,2467000000,396000000,0,1934000000,1664000000,6461000000,0,396000000,12830000000,-3099000000,0,16000000,-131000000,58005000000,-41000000,0,54750000000,54750000000,0,67580000000,1103000000,2863000000,-1972000000,balance-sheet-statement
2021-12-25,AMD,USD,0000002488,2022-02-03,2022-02-03 17:22:50,2021,FY,2535000000,1073000000,3608000000,2708000000,2706000000,2000000,1955000000,312000000,0,8583000000,1069000000,289000000,323000000,612000000,69000000,931000000,1155000000,3836000000,0,12419000000,1406000000,1321000000,85000000,1719000000,312000000,0,0,314000000,489000000,4240000000,1000000,348000000,0,12000000,321000000,682000000,0,348000000,4922000000,-2130000000,0,12000000,-1451000000,11069000000,-3000000,0,7497000000,7497000000,0,12419000000,1142000000,661000000,-1874000000,balance-sheet-statement
2025-12-27,INTC,USD,0000050863,2026-01-23,2026-01-22 18:43:06,2025,FY,14265000000,23151000000,37416000000,3839000000,3839000000,0,11618000000,0,10815000000,63688000000,105414000000,23912000000,2772000000,26684000000,8512000000,0,7131000000,147741000000,0,211429000000,10486000000,9882000000,604000000,3990000000,2499000000,0,604000000,0,14600000000,31575000000,44086000000,0,0,0,9408000000,53494000000,0,0,85069000000,0,0,65185000000,48983000000,0,113000000,0,114281000000,126360000000,12079000000,211429000000,31663000000,46585000000,32320000000,balance-sheet-statement
2024-12-28,INTC,USD,0000050863,2025-01-31,2025-01-31 17:13:51,2024,FY,8249000000,13813000000,22062000000,3478000000,3478000000,0,12198000000,0,9586000000,47324000000,107919000000,24693000000,3691000000,28384000000,5383000000,0,7475000000,149161000000,0,196485000000,14312000000,12556000000,1756000000,14282000000,3729000000,0,1756000000,0,3343000000,35666000000,46282000000,0,0,0,9505000000,55787000000,0,0,91453000000,0,0,50949000000,49032000000,0,-711000000,0,99270000000,105032000000,5762000000,196485000000,19196000000,50011000000,41762000000,balance-sheet-statement
2023-12-30,INTC,USD,0000050863,2024-01-26,2024-01-25 18:38:16,2023,FY,7079000000,17955000000,25034000000,3402000000,3402000000,0,11127000000,0,3706000000,43269000000,97152000000,27591000000,4589000000,32180000000,5829000000,0,13142000000,148303000000,0,191572000000,9685000000,8578000000,1107000000,3655000000,2300000000,0,1107000000,0,12413000000,28053000000,46978000000,0,0,0,6576000000,53554000000,0,0,81607000000,0,0,36649000000,69156000000,0,-215000000,0,105590000000,109965000000,4375000000,191572000000,23784000000,49278000000,42199000000,balance-sheet-statement
2022-12-31,INTC,USD,0000050863,2023-01-27,2023-01-26 18:31:20,2022,FY,11144000000,17194000000,28338000000,4133000000,4133000000,0,13224000000,0,4712000000,50407000000,80860000000,27591000000,6018000000,33609000000,5912000000,3450000000,7865000000,131696000000,0,182103000000,11846000000,9595000000,2251000000,9458000000,4323000000,0,2251000000,0,6528000000,32155000000,37684000000,0,0,202000000,8776000000,46662000000,0,0,78817000000,0,0,31580000000,70405000000,0,-562000000,0,101423000000,103286000000,1863000000,182103000000,23106000000,42051000000,30907000000,balance-sheet-statement
2021-12-25,INTC,USD,0000050863,2022-01-27,2022-01-26 18:34:53,2021,FY,4827000000,24426000000,29253000000,9457000000,9457000000,0,10776000000,0,9072000000,58558000000,63245000000,26963000000,7270000000,34233000000,6298000000,0,6072000000,109848000000,0,168406000000,6823000000,5747000000,1076000000,7713000000,4600000000,0,1076000000,0,8326000000,27462000000,33510000000,0,185000000,2667000000,9191000000,45553000000,0,0,73015000000,0,0,28006000000,68265000000,0,-880000000,0,95391000000,95391000000,0,168406000000,30724000000,38101000000,33274000000,balance-sheet-statement
2025-12-31,JPM,USD,0000019617,2026-02-13,2026-02-13 16:20:00,2025,FY,343338000000,1136409000000,1479747000000,397790000000,111599000000,286191000000,0,0,0,1877537000000,36244000000,52731000000,11727000000,64458000000,1737798000000,0,708863000000,2547363000000,0,4424900000000,347123000000,186658000000,160465000000,0,508408000000,0,0,0,2729010000000,3584541000000,433970000000,0,0,0,43951000000,477921000000,0,0,4062462000000,-164591000000,20045000000,4105000000,416055000000,91114000000,-4290000000,0,362438000000,362438000000,0,4424900000000,2874207000000,942378000000,599040000000,balance-sheet-statement
2024-12-31,JPM,USD,0000019617,2025-02-14,2025-02-14 16:17:07,2024,FY,469317000000,898404000000,1367721000000,320769000000,101223000000,219546000000,0,0,0,1688490000000,32223000000,52565000000,11995000000,64560000000,1598111000000,0,619430000000,2314324000000,0,4002814000000,305933000000,153153000000,152780000000,0,349728000000,0,0,0,2559254000000,3214915000000,401418000000,0,0,0,41723000000,443141000000,0,0,3658056000000,-134018000000,20050000000,4105000000,376166000000,90911000000,-12456000000,0,344758000000,344758000000,0,4002814000000,2496515000000,751146000000,281829000000,balance-sheet-statement
2023-12-31,JPM,USD,0000019617,2024-02-16,2024-02-16 16:20:22,2023,FY,624151000000,604098000000,1228249000000,307799000000,107363000000,200436000000,0,0,0,1536048000000,30157000000,52634000000,11747000000,64381000000,1671134000000,0,573673000000,2339345000000,0,3875393000000,317954000000,161960000000,155994000000,0,261247000000,0,0,0,2540269000000,3119470000000,391825000000,0,0,0,36220000000,428045000000,0,0,3547515000000,-116217000000,27404000000,4105000000,332901000000,90128000000,-10443000000,0,327878000000,327878000000,0,3875393000000,2275232000000,653072000000,28921000000,balance-sheet-statement
2022-12-31,JPM,USD,0000019617,2023-02-21,2023-02-21 16:13:55,2022,FY,567234000000,556811000000,1124045000000,310558000000,125189000000,185369000000,0,0,0,1434603000000,27734000000,51662000000,9197000000,60859000000,1541226000000,0,601321000000,2231140000000,0,3665743000000,339982000000,188692000000,151290000000,0,246640000000,0,46166000000,0,2467014000000,3053636000000,295865000000,0,0,0,23910000000,319775000000,0,0,3373411000000,-107336000000,27404000000,4105000000,296456000000,89044000000,-17341000000,0,292332000000,292332000000,0,3665743000000,2098037000000,542505000000,-24729000000,balance-sheet-statement
2021-12-31,JPM,USD,0000019617,2022-02-22,2022-02-22 16:56:31,2021,FY,740834000000,621122000000,1361956000000,308641000000,102570000000,206071000000,0,0,0,1670597000000,27070000000,50315000000,6376000000,56691000000,1425035000000,0,564174000000,2072970000000,0,3743567000000,303071000000,169172000000,133899000000,0,247934000000,0,0,0,2576880000000,3127885000000,301005000000,0,0,0,20550000000,321555000000,0,0,3449440000000,-105415000000,34838000000,4105000000,272268000000,88415000000,-84000000,0,294127000000,294127000000,0,3743567000000,2046157000000,548939000000,-191895000000,balance-sheet-statement
2025-09-30,V,USD,0001403161,2025-11-06,2025-11-06 16:09:41,2025,FY,20154000000,1833000000,21987000000,7317000000,3126000000,4191000000,0,0,8462000000,37766000000,4236000000,19879000000,27646000000,47525000000,999000000,0,9101000000,61861000000,0,99627000000,5123000000,555000000,4568000000,8499000000,5569000000,0,0,0,15857000000,35048000000,19602000000,0,0,5549000000,1519000000,26670000000,0,0,61718000000,0,745000000,0,15106000000,21934000000,124000000,-124000000,37909000000,37909000000,0,99627000000,2832000000,25171000000,5017000000,balance-sheet-statement
2024-09-30,V,USD,0001403161,2024-11-13,2024-11-13 17:14:01,2024,FY,11975000000,3200000000,15175000000,7015000000,2561000000,4454000000,0,1190000000,10653000000,34033000000,3824000000,18941000000,26889000000,45830000000,2545000000,0,8279000000,60478000000,0,94511000000,5744000000,479000000,5265000000,6636000000,0,0,0,0,14137000000,26517000000,20836000000,0,0,5301000000,2720000000,28857000000,0,0,55374000000,0,1031000000,0,17289000000,21229000000,-412000000,-104000000,39137000000,39137000000,0,94511000000,5745000000,20836000000,8861000000,balance-sheet-statement
2023-09-30,V,USD,0001403161,2023-11-15,2023-11-15 16:07:14,2023,FY,16286000000,3842000000,20128000000,4474000000,2291000000,2183000000,0,0,8930000000,33532000000,3425000000,17997000000,26104000000,44101000000,1921000000,126000000,7394000000,56967000000,0,90499000000,1875000000,375000000,1500000000,1506000000,0,0,1500000000,0,19611000000,23098000000,20463000000,0,0,5114000000,3091000000,28668000000,0,0,51766000000,0,1698000000,0,18040000000,20452000000,-1317000000,-140000000,38733000000,38733000000,0,90499000000,5763000000,20463000000,4177000000,balance-sheet-statement
2022-09-30,V,USD,0001403161,2022-11-16,2022-11-16 16:06:43,2022,FY,15689000000,2833000000,18522000000,3952000000,2020000000,1932000000,0,2668000000,5063000000,30205000000,3223000000,17787000000,25065000000,42852000000,2136000000,0,7085000000,55296000000,0,85501000000,705000000,340000000,365000000,1359000000,2250000000,0,365000000,0,16539000000,20853000000,20200000000,0,0,5332000000,3535000000,29067000000,0,0,49920000000,0,2324000000,0,16116000000,19545000000,-2369000000,-35000000,35581000000,35581000000,0,85501000000,4969000000,22450000000,6761000000,balance-sheet-statement
2021-09-30,V,USD,0001403161,2021-11-18,2021-11-18 16:06:50,2021,FY,16487000000,2025000000,18512000000,3726000000,1968000000,1758000000,0,856000000,4513000000,27607000000,2715000000,15958000000,27664000000,43622000000,1705000000,0,7247000000,55289000000,0,82896000000,2709000000,266000000,2443000000,3317000000,999000000,0,325000000,0,8714000000,15739000000,19978000000,0,0,6128000000,3462000000,29568000000,0,0,45307000000,0,3080000000,21935000000,15351000000,18855000000,436000000,-22068000000,37589000000,37589000000,0,82896000000,3730000000,20977000000,4490000000,balance-sheet-statement
2025-08-31,COST,USD,0000909832,2025-10-08,2025-10-07 21:16:06,2025,FY,14161000000,1123000000,15284000000,3203000000,3203000000,0,18116000000,0,1777000000,38380000000,34634000000,994000000,0,994000000,0,0,3091000000,38719000000,0,77099000000,19783000000,19783000000,0,7882000000,0,0,0,0,9443000000,37108000000,5713000000,2460000000,0,0,2654000000,10827000000,0,2460000000,47935000000,0,0,2000000,22650000000,8282000000,-1770000000,0,29164000000,29164000000,0,77099000000,1123000000,8173000000,-5988000000,balance-sheet-statement
2024-09-01,COST,USD,0000909832,2024-10-09,2024-10-08 18:40:07,2024,FY,9906000000,1238000000,11144000000,2721000000,2721000000,0,18647000000,0,1734000000,34246000000,31649000000,994000000,0,994000000,0,0,2942000000,35585000000,0,69831000000,19421000000,19421000000,0,7229000000,103000000,0,0,0,8711000000,35464000000,5794000000,2375000000,0,0,2576000000,10745000000,0,2375000000,46209000000,0,0,2000000,17619000000,7829000000,-1828000000,0,23622000000,23622000000,0,69831000000,1238000000,8272000000,-1634000000,balance-sheet-statement
2023-09-03,COST,USD,0000909832,2023-10-11,2023-10-10 19:13:15,2023,FY,13700000000,1534000000,15234000000,2285000000,2285000000,0,16651000000,0,1709000000,35879000000,29397000000,994000000,0,994000000,0,0,2724000000,33115000000,0,68994000000,17483000000,17483000000,0,6428000000,1081000000,0,0,0,8591000000,33583000000,5377000000,2426000000,0,0,2550000000,10353000000,0,2426000000,43936000000,0,0,2000000,19521000000,7340000000,-1805000000,0,25058000000,25058000000,0,68994000000,1534000000,8884000000,-4816000000,balance-sheet-statement
2022-08-28,COST,USD,0000909832,2022-10-05,2022-10-04 21:59:05,2022,FY,10203000000,846000000,11049000000,2241000000,2241000000,0,17907000000,0,1499000000,32696000000,27420000000,993000000,0,993000000,0,0,3057000000,31470000000,0,64166000000,17848000000,17848000000,0,6292000000,73000000,0,0,0,7785000000,31998000000,6484000000,2482000000,0,0,2555000000,11521000000,0,2482000000,43519000000,0,0,2000000,15585000000,6884000000,-1829000000,0,20642000000,20647000000,5000000,64166000000,846000000,9039000000,-1164000000,balance-sheet-statement
2021-08-29,COST,USD,0000909832,2021-10-06,2021-10-05 20:49:17,2021,FY,11258000000,917000000,12175000000,1803000000,1803000000,0,14215000000,0,1312000000,29505000000,26382000000,996000000,0,996000000,0,0,2385000000,29763000000,0,59268000000,16278000000,16278000000,0,5761000000,799000000,0,0,0,6603000000,29441000000,6692000000,2642000000,0,0,2415000000,11749000000,0,2642000000,41190000000,0,0,4000000,11666000000,7031000000,-1137000000,0,17564000000,18078000000,514000000,59268000000,917000000,10133000000,-1125000000,balance-sheet-statement
2026-01-31,WMT,USD,0000104169,2026-03-13,2026-03-13 16:06:24,2026,FY,10727000000,0,10727000000,11172000000,11172000000,0,58851000000,0,4124000000,84874000000,156956000000,28735000000,0,28735000000,0,0,14103000000,199794000000,0,284668000000,67767000000,63061000000,4706000000,24136000000,10138000000,2487000000,596000000,2941000000,0,107469000000,34624000000,19846000000,0,0,16549000000,71019000000,0,22333000000,178488000000,0,0,797000000,104774000000,6816000000,-12770000000,0,99617000000,106180000000,6563000000,284668000000,0,67095000000,56368000000,balance-sheet-statement
2025-01-31,WMT,USD,0000104169,2025-03-14,2025-03-14 16:40:52,2025,FY,9037000000,0,9037000000,9975000000,9975000000,0,56435000000,0,4011000000,79458000000,139704000000,28792000000,0,28792000000,0,0,12869000000,181365000000,0,260823000000,62777000000,58666000000,4111000000,23087000000,5666000000,2299000000,608000000,2755000000,0,96584000000,33401000000,18748000000,0,0,14398000000,66547000000,0,21047000000,163131000000,0,0,802000000,98313000000,5503000000,-13605000000,0,91013000000,97692000000,6679000000,260823000000,0,60114000000,51077000000,balance-sheet-statement
2024-01-31,WMT,USD,0000104169,2024-03-15,2024-03-15 16:54:48,2024,FY,9867000000,0,9867000000,8796000000,8796000000,0,54892000000,0,3322000000,76877000000,130338000000,28113000000,0,28113000000,0,0,17071000000,175522000000,0,252399000000,60578000000,56812000000,3766000000,22636000000,4325000000,2212000000,307000000,2664000000,0,92415000000,36132000000,18652000000,0,0,14629000000,69413000000,0,20864000000,161828000000,0,0,805000000,89814000000,4544000000,-11302000000,0,83861000000,90571000000,6710000000,252399000000,0,61321000000,51454000000,balance-sheet-statement
2023-01-31,WMT,USD,0000104169,2023-02-21,2023-03-17 17:02:59,2023,FY,8625000000,0,8625000000,7933000000,7933000000,0,56576000000,0,2521000000,75655000000,119234000000,28174000000,0,28174000000,0,0,20134000000,167542000000,0,243197000000,57894000000,53742000000,4152000000,25213000000,4563000000,2040000000,727000000,2488000000,0,92198000000,34649000000,17671000000,0,14688000000,0,67008000000,0,19711000000,159206000000,0,0,808000000,83135000000,4430000000,-11680000000,0,76693000000,83991000000,7298000000,243197000000,0,58923000000,50298000000,balance-sheet-statement
2022-01-31,WMT,USD,0000104169,2022-02-17,2022-03-18 17:03:00,2022,FY,14760000000,0,14760000000,8280000000,8280000000,0,56511000000,1519000000,0,81070000000,112624000000,29014000000,0,29014000000,0,0,22152000000,163790000000,0,244860000000,59359000000,55261000000,4098000000,20254000000,3213000000,1994000000,851000000,2559000000,0,87379000000,34864000000,17252000000,0,13474000000,0,65590000000,0,19246000000,152969000000,0,0,276000000,86904000000,4839000000,-8766000000,0,83253000000,91891000000,8638000000,244860000000,0,57323000000,42563000000,balance-sheet-statement
